Timestamp,Temperatures
0,293.8
1,293.8
2,293.8
3,293.8
4,293.8
5,293.8
6,293.8
7,293.8
8,293.8
9,293.8
10,293.8
11,293.8
12,293.8
13,293.8
14,293.8
15,293.8
16,293.8
17,293.8
18,293.8
19,293.8
20,293.8
21,293.8
22,293.8
23,293.8
24,293.8
25,293.8
26,293.8
27,293.8
28,293.8
29,293.8
30,293.8
31,293.8
32,293.8
33,293.8
34,293.8
35,293.8
36,293.8
37,293.8
38,293.8
39,293.8
40,293.8
41,293.8
42,293.8
43,293.8
44,293.8
45,293.8
46,293.8
47,293.8
48,293.8
49,293.8
50,293.8
51,293.8
52,293.8
53,293.8
54,293.8
55,293.8
56,293.8
57,293.8
58,293.8
59,293.8
60,293.8
61,293.8
62,293.8
63,293.8
64,293.8
65,293.8
66,293.8
67,293.8
68,293.8
69,293.8
70,293.8
71,293.8
72,293.8
73,293.8
74,293.8
75,293.8
76,293.8
77,293.9
78,293.9
79,293.9
80,293.9
81,293.9
82,293.9
83,293.9
84,293.9
85,293.9
86,293.9
87,293.9
88,293.9
89,293.9
90,293.9
91,293.9
92,293.9
93,293.9
94,293.9
95,293.9
96,293.9
97,293.9
98,293.9
99,293.9
100,293.9
101,293.9
102,293.9
103,293.9
104,293.9
105,293.9
106,293.9
107,293.9
108,293.9
109,293.9
110,293.9
111,293.9
112,293.9
113,293.9
114,293.9
115,293.9
116,293.9
117,293.9
118,293.9
119,293.9
120,293.9
121,293.9
122,293.9
123,293.9
124,293.9
125,293.9
126,293.9
127,293.9
128,293.9
129,293.9
130,293.9
131,293.9
132,293.9
133,293.9
134,293.9
135,293.9
136,293.9
137,293.9
138,294.0
139,294.0
140,294.0
141,294.0
142,294.0
143,294.0
144,294.0
145,294.0
146,294.0
147,294.0
148,294.0
149,294.0
150,294.0
151,294.0
152,294.0
153,294.0
154,294.0
155,294.0
156,294.0
157,294.0
158,294.0
159,294.0
160,294.0
161,294.0
162,294.0
163,294.0
164,294.0
165,294.0
166,294.0
167,294.0
168,294.0
169,294.0
170,294.0
171,294.0
172,294.0
173,294.0
174,294.0
175,294.0
176,294.0
177,294.0
178,294.0
179,294.0
180,294.0
181,294.0
182,294.0
183,294.0
184,294.0
185,294.1
186,294.1
187,294.1
188,294.1
189,294.1
190,294.1
191,294.1
192,294.1
193,294.1
194,294.1
195,294.1
196,294.1
197,294.1
198,294.1
199,294.1
200,294.1
201,294.1
202,294.1
203,294.1
204,294.1
205,294.1
206,294.1
207,294.1
208,294.1
209,294.1
210,294.1
211,294.1
212,294.1
213,294.1
214,294.1
215,294.1
216,294.1
217,294.1
218,294.1
219,294.1
220,294.1
221,294.1
222,294.1
223,294.1
224,294.1
225,294.1
226,294.1
227,294.1
228,294.1
229,294.1
230,294.1
231,294.2
232,294.2
233,294.2
234,294.2
235,294.2
236,294.2
237,294.2
238,294.2
239,294.2
240,294.2
241,294.2
242,294.2
243,294.2
244,294.2
245,294.2
246,294.2
247,294.2
248,294.2
249,294.2
250,294.2
251,294.2
252,294.2
253,294.2
254,294.2
255,294.2
256,294.2
257,294.2
258,294.2
259,294.2
260,294.2
261,294.2
262,294.2
263,294.2
264,294.2
265,294.2
266,294.2
267,294.2
268,294.2
269,294.2
270,294.2
271,294.2
272,294.2
273,294.2
274,294.2
275,294.2
276,294.2
277,294.2
278,294.2
279,294.3
280,294.3
281,294.3
282,294.3
283,294.3
284,294.3
285,294.3
286,294.3
287,294.3
288,294.3
289,294.3
290,294.3
291,294.3
292,294.3
293,294.3
294,294.3
295,294.3
296,294.3
297,294.3
298,294.3
299,294.3
300,294.3
301,294.3
302,294.3
303,294.3
304,294.3
305,294.3
306,294.3
307,294.3
308,294.3
309,294.3
310,294.3
311,294.3
312,294.3
313,294.3
314,294.3
315,294.3
316,294.3
317,294.3
318,294.3
319,294.3
320,294.3
321,294.3
322,294.3
323,294.3
324,294.3
325,294.3
326,294.3
327,294.3
328,294.4
329,294.4
330,294.4
331,294.4
332,294.4
333,294.4
334,294.4
335,294.4
336,294.4
337,294.4
338,294.4
339,294.4
340,294.4
341,294.4
342,294.4
343,294.4
344,294.4
345,294.4
346,294.4
347,294.4
348,294.4
349,294.4
350,294.4
351,294.4
352,294.4
353,294.4
354,294.4
355,294.4
356,294.4
357,294.4
358,294.4
359,294.4
360,294.4
361,294.4
362,294.4
363,294.4
364,294.4
365,294.4
366,294.4
367,294.4
368,294.4
369,294.4
370,294.4
371,294.4
372,294.4
373,294.4
374,294.4
375,294.4
376,294.5
377,294.5
378,294.5
379,294.5
380,294.5
381,294.5
382,294.5
383,294.5
384,294.5
385,294.5
386,294.5
387,294.5
388,294.5
389,294.5
390,294.5
391,294.5
392,294.5
393,294.5
394,294.5
395,294.5
396,294.5
397,294.5
398,294.5
399,294.5
400,294.5
401,294.5
402,294.5
403,294.5
404,294.5
405,294.5
406,294.5
407,294.5
