,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances
,count,mean,std,min,25%,50%,75%,max
Temperature,,,,,,,,
300.1,10.0,14.488268,0.04028032709786661,14.42798,14.47708,14.481735,14.498347500000001,14.55453
320.0,10.0,15.483747,0.13029526051327514,15.29624,15.40564,15.47051,15.5478125,15.73181
340.1,10.0,16.215346,0.0055186717403531505,16.2067,16.211075,16.214525,16.22009,16.22269
360.0,10.0,17.410171,0.005038909604269326,17.40369,17.40591,17.410200000000003,17.4133975,17.41715
380.2,10.0,18.566434,0.007256228282578477,18.55797,18.5601075,18.565714999999997,18.572035,18.57855
