Timestamp,Temperature,R,Theta,X,Y,Current,Vin
12:53:06.893362,69.87,0.06505737,1.636962,0.06503906,0.001849365,0.01292266,1.0
12:53:10.644267,69.85,0.06507568,1.636962,0.06505737,0.001849365,0.01293117,1.0
12:53:14.015648,69.91,0.06509399,1.631469,0.06507568,0.001849365,0.01292947,1.0
12:53:17.424293,69.97,0.0651123,1.631469,0.06507568,0.001849365,0.01292564,1.0
12:53:20.824261,69.92,0.06513061,1.625976,0.06509399,0.001849365,0.01291904,1.0
12:53:24.225614,69.95,0.06514892,1.625976,0.0651123,0.001849365,0.01291904,1.0
12:53:27.629165,70.08,0.06514892,1.625976,0.06513061,0.001831054,0.01290903,1.0
12:53:31.038811,70.12,0.06516723,1.620483,0.06513061,0.001831054,0.01291648,1.0
12:53:34.437590,70.08,0.06516723,1.620483,0.06514892,0.001831054,0.01290605,1.0
12:53:37.848634,70.11,0.06518554,1.61499,0.06514892,0.001831054,0.01290371,1.0
13:01:44.867160,79.94,0.07091674,1.631469,0.07088012,0.00201416,0.01278831,1.0
13:01:48.260186,79.97,0.07091674,1.625976,0.07088012,0.00201416,0.01279491,1.0
13:01:51.616257,79.95,0.07089843,1.625976,0.07088012,0.00201416,0.01279172,1.0
13:01:55.031238,79.98,0.07089843,1.625976,0.07088012,0.00201416,0.0127815,1.0
13:01:58.433131,80.04,0.07089843,1.625976,0.07088012,0.00201416,0.01279896,1.0
13:02:01.833376,80.04,0.07089843,1.631469,0.07088012,0.00201416,0.01279938,1.0
13:02:05.239104,80.09,0.07089843,1.631469,0.07088012,0.00201416,0.01279193,1.0
13:02:08.637320,80.14,0.07089843,1.636962,0.07088012,0.00201416,0.0127815,1.0
13:02:12.054499,80.09,0.07089843,1.636962,0.07088012,0.00201416,0.01278661,1.0
13:02:15.452953,80.12,0.07089843,1.642456,0.07088012,0.00203247,0.01278086,1.0
13:09:23.888900,90.02,0.07615356,1.625976,0.07611694,0.002160644,0.01267888,1.0
13:09:27.251489,90.03,0.07615356,1.625976,0.07611694,0.002160644,0.01268505,1.0
13:09:30.655001,89.99,0.07615356,1.625976,0.07611694,0.002160644,0.01268548,1.0
13:09:34.065057,90.0,0.07615356,1.625976,0.07611694,0.002160644,0.01268271,1.0
13:09:37.457921,89.95,0.07615356,1.625976,0.07611694,0.002160644,0.01268122,1.0
13:09:40.875418,89.91,0.07615356,1.625976,0.07611694,0.002160644,0.01267952,1.0
13:09:44.269126,89.95,0.07615356,1.625976,0.07611694,0.002160644,0.01267952,1.0
13:09:47.686240,89.94,0.07615356,1.625976,0.07611694,0.002160644,0.0126974,1.0
13:09:51.085241,89.97,0.07615356,1.625976,0.07611694,0.002160644,0.01268803,1.0
13:09:54.492507,90.05,0.07615356,1.625976,0.07611694,0.002160644,0.01268228,1.0
13:17:41.873916,99.95,0.08133544,1.620483,0.08129882,0.002288818,0.01258477,1.0
13:17:45.244709,100.0,0.08133544,1.620483,0.08129882,0.002288818,0.01257988,1.0
13:17:48.642612,100.03,0.08133544,1.620483,0.08129882,0.002288818,0.01258051,1.0
13:17:52.044941,100.12,0.08133544,1.620483,0.08129882,0.002288818,0.01259648,1.0
13:17:55.450669,100.14,0.08133544,1.620483,0.08129882,0.002288818,0.01257583,1.0
13:17:58.851777,100.18,0.08133544,1.620483,0.08129882,0.002288818,0.01257413,1.0
13:18:02.268534,100.16,0.08133544,1.620483,0.08129882,0.002288818,0.01256391,1.0
13:18:05.659161,100.15,0.08133544,1.620483,0.08129882,0.002288818,0.012582,1.0
13:18:09.068401,100.13,0.08133544,1.620483,0.08129882,0.002288818,0.0125935,1.0
13:18:12.482984,100.14,0.08133544,1.620483,0.08129882,0.002288818,0.01259371,1.0
13:27:50.379094,109.9,0.08651733,1.61499,0.08648071,0.002435302,0.01247874,1.0
13:27:53.759128,109.88,0.08651733,1.61499,0.08648071,0.002435302,0.01248322,1.0
13:27:57.154698,109.89,0.08651733,1.61499,0.08648071,0.002435302,0.01246767,1.0
13:28:00.561196,109.91,0.08649902,1.61499,0.08648071,0.002435302,0.01248683,1.0
13:28:03.973042,109.92,0.08649902,1.61499,0.08648071,0.002435302,0.01247172,1.0
13:28:07.362994,109.95,0.08649902,1.61499,0.0864624,0.002435302,0.0124664,1.0
13:28:10.780048,109.95,0.08649902,1.61499,0.0864624,0.002435302,0.012473,1.0
13:28:14.178214,109.99,0.08649902,1.61499,0.0864624,0.002435302,0.01247938,1.0
13:28:17.581811,110.0,0.08649902,1.61499,0.0864624,0.002435302,0.01246129,1.0
13:28:20.989396,110.01,0.08649902,1.61499,0.0864624,0.002435302,0.01246789,1.0
13:36:51.567036,120.14,0.09140625,1.609497,0.09136962,0.002563476,0.01236867,1.0
13:36:55.040474,120.13,0.09140625,1.61499,0.09136962,0.002563476,0.01236569,1.0
13:36:58.388602,120.12,0.09142456,1.61499,0.09138793,0.002563476,0.01237485,1.0
13:37:01.793768,120.13,0.09142456,1.61499,0.09138793,0.002563476,0.01238294,1.0
13:37:05.197399,120.13,0.09142456,1.61499,0.09138793,0.002563476,0.01237804,1.0
13:37:08.605775,120.11,0.09142456,1.609497,0.09138793,0.002563476,0.01236803,1.0
13:37:11.993278,120.1,0.09142456,1.609497,0.09138793,0.002563476,0.01237293,1.0
13:37:15.408977,120.09,0.09142456,1.609497,0.09138793,0.002563476,0.01235611,1.0
13:37:18.815039,120.08,0.09142456,1.609497,0.09138793,0.002563476,0.01237335,1.0
13:37:22.226490,120.06,0.09142456,1.609497,0.09138793,0.002563476,0.01236782,1.0
13:47:07.682775,129.94,0.09622192,1.609497,0.0961853,0.00269165,0.01225945,1.0
13:47:11.129536,129.94,0.09622192,1.609497,0.0961853,0.00269165,0.01227265,1.0
13:47:14.505781,129.96,0.09622192,1.609497,0.0961853,0.00269165,0.01226562,1.0
13:47:17.916954,129.97,0.09622192,1.609497,0.0961853,0.00269165,0.01226839,1.0
13:47:21.316182,130.0,0.09622192,1.609497,0.0961853,0.00269165,0.0122652,1.0
13:47:24.728887,130.04,0.09622192,1.609497,0.0961853,0.00269165,0.01226626,1.0
13:47:28.131539,130.05,0.09622192,1.609497,0.0961853,0.00269165,0.0122669,1.0
13:47:31.524917,130.07,0.09622192,1.609497,0.0961853,0.00269165,0.01227201,1.0
13:47:34.944394,130.09,0.09622192,1.609497,0.0961853,0.00269165,0.01227627,1.0
13:47:38.341649,130.09,0.09622192,1.609497,0.0961853,0.00269165,0.01227116,1.0
13:56:48.816252,140.03,0.1008178,1.609497,0.1007812,0.002819824,0.01219238,1.0
13:56:52.194770,140.02,0.1008178,1.604003,0.1007812,0.002819824,0.01216918,1.0
13:56:55.593735,140.03,0.1008178,1.604003,0.1007812,0.002819824,0.01217854,1.0
13:56:58.998984,140.03,0.1008178,1.604003,0.1007812,0.002819824,0.01217641,1.0
13:57:02.395566,140.02,0.1008178,1.604003,0.1007812,0.002819824,0.01217982,1.0
13:57:05.803954,140.02,0.1008178,1.604003,0.1007812,0.002819824,0.01218259,1.0
13:57:09.207583,140.02,0.1008178,1.604003,0.1007812,0.002819824,0.01217812,1.0
13:57:12.608304,140.02,0.1008178,1.604003,0.1007812,0.002819824,0.01217641,1.0
13:57:16.012677,140.01,0.1008178,1.604003,0.1007812,0.002819824,0.01217769,1.0
13:57:19.420220,140.01,0.1008178,1.604003,0.1007812,0.002819824,0.01217961,1.0
14:06:28.618663,150.02,0.105194,1.604003,0.1051574,0.002947998,0.01209019,1.0
14:06:31.961308,150.02,0.105194,1.604003,0.1051574,0.002947998,0.0120821,1.0
14:06:35.372490,150.02,0.105194,1.604003,0.1051574,0.002947998,0.01210424,1.0
14:06:38.766717,150.02,0.105194,1.604003,0.1051574,0.002947998,0.01209764,1.0
14:06:42.185912,150.01,0.105194,1.604003,0.1051574,0.002947998,0.0120921,1.0
14:06:45.583664,150.01,0.105194,1.604003,0.1051574,0.002947998,0.01208274,1.0
14:06:48.993340,150.01,0.105194,1.604003,0.1051574,0.002947998,0.01208359,1.0
14:06:52.382524,150.0,0.105194,1.604003,0.1051574,0.002947998,0.01208125,1.0
14:06:55.788904,150.0,0.105194,1.604003,0.1051574,0.002947998,0.01210126,1.0
14:06:59.192120,150.0,0.105194,1.604003,0.1051574,0.002947998,0.01209806,1.0
14:16:10.505627,160.03,0.1094055,1.604003,0.1093688,0.003057861,0.01201141,1.0
14:16:13.960125,160.03,0.1094055,1.604003,0.1093688,0.003057861,0.01200651,1.0
14:16:17.360056,160.03,0.1094238,1.604003,0.1093688,0.003057861,0.01199928,1.0
14:16:20.764941,160.02,0.1094238,1.604003,0.1093688,0.003057861,0.01200843,1.0
14:16:24.166265,160.02,0.1094238,1.604003,0.1093688,0.003057861,0.01201588,1.0
14:16:27.580264,160.02,0.1094238,1.604003,0.1093688,0.003057861,0.0120014,1.0
14:16:30.980379,160.01,0.1094238,1.604003,0.1093688,0.003057861,0.01200332,1.0
14:16:34.367290,160.01,0.1094238,1.604003,0.1093688,0.003057861,0.01200524,1.0
14:16:37.786685,160.01,0.1094238,1.604003,0.1093688,0.003057861,0.01199693,1.0
14:16:41.182961,160.01,0.1094238,1.604003,0.1093688,0.003057861,0.01200566,1.0
