Timestamp,Temperatures,SetPoints
0,14.39,30
1,14.16,30
2,14.05,30
3,14.02,30
4,14.09,30
5,14.35,30
6,14.76,30
7,15.03,30
8,15.72,30
9,16.07,30
10,16.69,30
11,16.99,30
12,17.63,30
13,17.95,30
14,18.55,30
15,18.85,30
16,19.44,30
17,19.72,30
18,20.27,30
19,20.8,30
20,21.07,30
21,21.56,30
22,21.8,30
23,22.25,30
24,22.47,30
25,22.86,30
26,23.24,30
27,23.43,30
28,23.74,30
29,23.88,30
30,24.2,30
31,24.37,30
32,24.66,30
33,24.78,30
34,24.98,30
35,25.28,30
36,25.42,30
37,25.66,30
38,25.77,30
39,25.96,30
40,26.08,30
41,26.32,30
42,26.43,30
43,26.64,30
44,26.83,30
45,26.92,30
46,27.12,30
47,27.22,30
48,27.41,30
49,27.5,30
50,27.69,30
51,27.86,30
52,27.94,30
53,28.12,30
54,28.2,30
55,28.37,30
56,28.46,30
57,28.61,30
58,28.76,30
59,28.84,30
60,28.98,30
61,29.05,30
62,29.2,30
63,29.27,30
64,29.41,30
65,29.48,30
66,29.61,30
67,29.67,30
68,29.81,30
69,29.86,30
70,29.98,30
71,30.1,30
72,30.16,30
73,30.27,30
74,30.33,30
75,30.43,30
76,30.54,30
77,30.58,30
78,30.68,30
79,30.73,30
80,30.82,30
81,30.86,30
82,30.97,30
83,31.08,30
84,31.12,30
85,31.2,30
86,31.24,30
87,31.32,30
88,31.36,30
89,31.39,30
90,31.46,30
91,31.5,30
92,31.56,30
93,31.6,30
94,31.66,30
95,31.74,30
96,31.77,30
97,31.82,30
98,31.85,30
99,31.91,30
100,31.93,30
101,31.98,30
102,32.0,30
103,32.03,30
104,32.07,30
105,32.09,30
106,32.13,30
107,32.17,30
108,32.19,30
109,32.23,30
110,32.24,30
111,32.28,30
112,32.29,30
113,32.32,30
114,32.34,30
115,32.35,30
116,32.38,30
117,32.39,30
118,32.41,30
119,32.42,30
120,32.43,30
121,32.44,30
122,32.47,30
123,32.5,30
124,32.52,30
125,32.52,30
126,32.53,30
127,32.53,30
128,32.52,30
129,32.5,30
130,32.5,30
131,32.5,30
132,32.5,30
133,32.49,30
134,32.49,30
135,32.49,30
136,32.48,30
137,32.47,30
138,32.46,30
139,32.46,30
140,32.45,30
141,32.43,30
142,32.42,30
143,32.41,30
144,32.4,30
145,32.38,30
146,32.37,30
147,32.35,30
148,32.33,30
149,32.31,30
150,32.29,30
151,32.27,30
152,32.24,30
153,32.21,30
154,32.2,30
155,32.17,30
156,32.15,30
157,32.12,30
158,32.09,30
159,32.07,30
160,32.03,30
161,32.02,30
162,31.98,30
163,31.95,30
164,31.93,30
165,31.89,30
166,31.87,30
