Timestamp,Temperatures,SetPoints
0,11.61,15
1,11.53,15
2,11.52,15
3,11.86,15
4,12.17,15
5,12.87,15
6,13.22,15
7,14.0,15
8,14.4,15
9,15.02,15
10,15.14,15
11,15.09,15
12,15.04,15
13,15.04,15
14,15.03,15
15,15.01,15
16,14.99,15
17,15.0,15
18,15.02,15
19,15.01,15
20,15.0,15
21,15.01,15
22,15.02,15
23,15.02,15
24,15.01,15
25,15.0,15
26,15.0,15
27,15.02,15
28,15.01,15
29,14.99,15
30,14.99,15
31,15.01,15
32,15.01,15
33,14.98,15
34,14.98,15
35,15.01,15
36,15.0,15
37,14.99,15
38,15.0,15
39,15.01,15
40,15.01,15
41,15.02,15
42,15.01,15
43,15.0,15
44,15.01,15
45,15.02,15
46,15.0,15
47,14.98,15
48,14.99,15
49,15.01,15
50,14.99,15
51,14.98,15
52,15.0,15
53,15.01,15
54,15.0,15
55,15.0,15
56,15.01,15
57,15.01,15
58,15.01,15
59,15.01,15
60,15.0,15
61,15.0,15
62,15.0,15
63,15.0,15
64,14.99,15
65,14.96,15
66,14.97,15
67,15.01,15
68,14.99,15
69,14.96,15
70,14.96,15
71,15.01,20
72,14.98,20
73,15.03,20
74,21.41,20
75,22.87,20
76,24.4,20
77,24.95,20
78,25.78,20
79,26.19,20
80,26.83,20
81,25.4,20
82,25.95,20
83,26.79,20
84,27.12,20
85,27.72,20
86,27.97,20
87,28.46,20
88,28.68,20
89,29.08,20
90,29.28,20
91,29.62,20
92,29.78,20
93,30.08,20
94,30.35,20
95,30.48,20
96,30.7,20
97,30.81,20
98,31.0,20
99,31.09,20
100,31.26,20
101,31.34,20
102,31.47,20
103,31.53,20
104,31.65,20
105,31.7,20
106,31.77,20
107,31.84,20
108,31.86,20
109,31.91,20
110,31.92,20
111,31.92,20
112,31.92,20
113,31.92,20
114,31.92,20
115,31.89,20
116,31.87,20
117,31.83,20
118,31.78,20
119,31.74,20
120,31.67,20
121,31.62,20
122,31.55,20
123,31.52,20
124,31.4,20
125,31.34,20
126,31.21,20
127,31.13,20
128,30.98,20
129,30.88,20
130,30.69,20
131,30.52,20
132,30.42,20
133,30.22,20
134,30.11,20
135,29.89,20
136,29.78,20
137,29.54,20
138,29.41,20
139,29.15,20
140,29.01,20
141,28.74,20
142,28.45,20
143,28.3,20
144,27.97,20
145,27.82,20
