Timestamp,Temperatures,SetPoints
0,10.47,10
1,10.43,10
2,10.42,10
3,10.38,10
4,10.35,10
5,10.31,10
6,10.3,10
7,10.26,10
8,10.23,10
9,10.2,10
10,10.17,10
11,10.1,10
12,10.06,10
13,10.05,10
14,10.05,10
15,9.97,10
16,9.94,10
17,9.93,10
18,9.91,10
19,9.86,10
20,9.85,10
21,9.84,10
22,9.82,10
23,9.76,10
24,9.77,10
25,9.79,10
26,9.76,10
27,9.74,10
28,9.74,10
29,9.76,10
30,9.75,10
31,9.75,10
32,9.78,10
33,9.8,10
34,9.8,10
35,9.82,10
36,9.84,10
37,9.87,10
38,9.87,10
39,9.89,10
40,9.92,10
41,9.92,10
42,9.91,10
43,9.95,10
44,9.97,10
45,9.95,10
46,9.94,10
47,9.96,10
48,9.97,10
49,9.94,10
50,9.95,10
51,9.97,10
52,9.95,10
53,9.94,10
54,9.95,10
55,9.97,10
56,9.97,10
57,9.96,10
58,9.97,10
59,9.98,10
60,9.96,10
61,9.96,10
62,9.98,10
63,9.97,10
64,9.96,10
65,9.94,10
66,9.93,10
67,9.97,10
68,9.97,10
69,9.94,10
70,9.95,10
71,9.98,10
72,9.99,10
73,10.0,10
74,9.99,10
75,9.99,10
76,10.02,10
77,9.99,10
78,9.98,10
79,10.01,10
80,10.02,10
81,10.0,10
82,9.99,10
83,10.01,10
84,10.01,10
85,10.0,10
86,10.0,10
87,10.02,10
88,10.01,10
89,9.98,10
90,9.99,10
91,10.03,10
92,10.01,10
93,9.99,10
94,9.99,10
95,10.01,10
96,10.0,10
97,9.98,10
98,9.98,10
99,9.99,10
100,9.97,15
101,9.98,15
102,10.39,15
103,10.7,15
104,14.72,15
105,15.16,15
106,15.01,15
107,15.16,15
108,15.13,15
109,14.95,15
110,14.98,15
111,15.06,15
112,15.05,15
113,15.04,15
114,15.03,15
115,15.02,15
116,15.02,15
117,15.02,15
118,15.03,15
119,15.02,15
120,15.0,15
121,15.0,15
122,15.01,15
123,15.01,15
124,14.99,15
125,14.99,15
126,15.01,15
127,15.01,15
128,15.0,15
129,15.0,15
130,15.01,15
131,15.01,15
132,15.02,15
133,15.01,15
134,15.0,15
135,15.01,15
136,15.01,15
137,15.0,15
138,14.99,15
139,14.99,15
140,15.0,15
141,15.0,15
142,14.99,15
143,15.0,15
144,15.01,15
145,15.01,15
146,15.01,15
147,15.01,15
148,15.01,15
149,15.01,15
150,15.01,15
151,15.0,15
152,14.99,15
153,15.0,15
154,15.01,15
155,14.99,15
156,14.99,15
157,15.0,15
158,15.01,15
159,15.01,15
160,15.0,15
161,15.0,15
162,15.01,15
163,15.02,15
164,15.01,15
165,15.02,15
166,15.0,15
167,15.0,15
168,15.03,15
169,14.99,20
170,14.99,20
171,15.35,20
172,22.25,20
173,24.96,20
174,26.61,20
175,27.33,20
176,28.27,20
177,28.72,20
178,29.33,20
179,27.48,20
180,28.56,20
181,28.93,20
182,29.53,20
183,29.95,20
184,30.1,20
185,30.31,20
186,30.37,20
187,30.42,20
188,30.4,20
189,30.27,20
190,30.18,20
191,29.97,20
192,29.69,20
193,29.54,20
194,29.14,20
195,28.93,20
196,28.47,20
197,28.21,20
198,27.64,20
199,27.32,20
200,26.63,20
201,25.81,20
202,25.4,20
203,24.56,20
204,24.15,20
205,23.46,20
206,23.11,20
207,22.35,20
208,21.94,20
209,21.02,20
210,20.55,20
211,19.61,20
212,18.73,20
213,18.32,20
214,17.6,20
215,17.28,20
216,16.79,20
217,16.61,20
218,16.35,20
219,16.28,20
220,16.24,20
221,16.27,20
222,16.37,20
223,16.44,20
224,16.66,20
225,16.79,20
226,17.06,20
227,17.2,20
228,17.52,20
229,17.68,20
230,17.98,20
231,18.12,20
232,18.41,20
233,18.54,20
234,18.77,20
235,18.89,20
236,19.13,20
237,19.23,20
238,19.4,20
239,19.49,20
240,19.65,20
241,19.72,20
242,19.82,20
243,19.87,20
244,19.97,20
245,20.0,20
246,20.06,20
247,20.09,20
248,20.14,20
249,20.18,20
250,20.19,20
251,20.21,20
252,20.22,20
253,20.22,20
254,20.22,20
255,20.22,20
256,20.21,20
257,20.2,20
258,20.19,20
259,20.19,20
260,20.18,20
261,20.17,20
262,20.16,20
263,20.15,20
264,20.13,20
265,20.12,20
266,20.1,20
267,20.1,20
268,20.09,20
269,20.08,20
270,20.06,20
271,20.06,20
272,20.05,20
273,20.05,20
274,20.04,20
275,20.03,20
276,20.02,20
277,20.01,20
278,20.01,20
279,20.01,20
280,19.99,20
281,19.99,20
282,20.0,20
283,20.0,20
284,20.0,20
285,20.0,20
286,20.0,20
287,20.01,20
288,20.0,20
289,20.0,20
290,20.0,20
291,20.0,20
292,20.0,20
293,20.01,20
294,20.0,20
295,20.0,20
296,20.0,20
297,20.01,20
298,20.01,20
299,20.01,20
300,20.02,20
301,20.02,20
302,20.03,20
303,20.03,20
304,20.02,20
305,20.02,20
306,20.02,20
