Timestamp,Temperatures,SetPoints
0,9.45,10
1,9.47,10
2,9.48,10
3,9.49,10
4,9.52,10
5,9.54,10
6,9.57,10
7,9.58,10
8,9.64,10
9,9.64,10
10,9.64,10
11,9.68,10
12,9.76,10
13,9.77,10
14,9.79,10
15,9.81,10
16,9.87,10
17,9.88,10
18,9.9,10
19,9.92,10
20,9.94,10
21,9.93,10
22,9.94,10
23,9.96,10
24,9.98,10
25,9.96,10
26,9.95,10
27,9.97,10
28,9.97,10
29,9.94,10
30,9.96,10
31,9.97,10
32,9.95,10
33,9.93,10
34,9.94,10
35,9.96,10
36,9.95,10
37,9.94,10
38,9.97,10
39,9.96,10
40,9.95,10
41,9.97,10
42,9.99,10
43,9.99,10
44,9.99,10
45,10.0,10
46,10.02,10
47,10.02,10
48,10.01,10
49,10.02,10
50,10.03,10
51,10.01,10
52,10.01,10
53,10.04,10
54,10.05,10
55,10.02,10
56,10.01,10
57,10.03,10
58,10.04,10
59,9.99,10
60,9.99,10
61,9.98,10
62,9.97,10
63,9.93,10
64,9.94,10
65,9.96,10
66,9.99,10
67,9.99,10
68,9.97,10
69,9.98,10
70,10.01,10
71,10.01,10
72,9.99,10
73,9.98,10
74,9.99,10
75,10.0,10
76,9.98,10
77,9.99,10
78,10.01,10
79,10.0,10
80,9.97,10
81,9.97,10
82,10.0,10
83,10.0,10
84,9.96,10
85,9.95,10
86,9.97,10
87,9.96,10
88,9.95,10
89,9.96,10
90,10.0,10
91,9.99,10
92,9.98,10
93,10.0,10
94,10.02,10
95,10.0,10
96,10.0,10
97,10.01,10
98,10.0,10
99,9.98,10
100,9.98,10
101,10.0,10
102,10.0,10
103,9.99,10
104,10.0,10
105,10.01,10
106,10.01,10
107,10.01,10
108,10.01,10
109,10.03,10
110,10.01,10
111,10.0,10
112,10.01,10
113,10.04,10
114,10.02,10
115,10.01,10
116,10.01,10
117,10.02,10
118,9.99,10
119,9.99,10
120,10.0,10
121,9.99,10
122,9.98,10
123,9.97,10
124,9.98,10
125,10.01,10
126,10.0,10
127,9.98,10
128,10.0,10
129,10.01,10
130,9.99,10
131,9.99,10
132,10.01,10
133,10.01,10
134,9.99,10
135,10.0,10
136,10.02,10
137,10.01,10
138,10.0,15
139,10.01,15
140,10.39,15
141,10.71,15
142,14.74,15
143,15.12,15
144,15.08,15
145,15.14,15
146,15.08,15
147,15.04,15
148,15.08,15
149,15.08,15
150,15.07,15
151,15.05,15
152,15.04,15
153,15.04,15
154,15.02,15
155,15.0,15
156,15.0,15
157,15.01,15
158,15.0,15
159,14.99,15
160,15.0,15
161,15.02,15
162,15.01,15
163,15.0,15
164,15.01,15
165,15.01,15
166,15.0,15
167,15.0,15
168,14.99,15
169,14.99,15
170,15.0,15
171,15.0,15
172,14.98,15
173,14.98,15
174,15.0,15
175,15.01,15
176,15.0,15
177,15.0,15
178,15.01,15
179,15.01,15
180,15.01,15
181,15.01,15
182,15.0,15
183,14.99,15
184,15.0,15
185,15.01,15
186,15.0,15
187,14.99,15
188,15.0,15
189,15.01,15
190,15.0,15
191,15.0,15
192,15.0,15
193,15.0,15
194,15.0,15
195,15.01,15
196,15.0,15
197,14.99,15
198,15.0,15
199,15.02,15
200,15.01,15
201,15.0,15
202,15.01,15
203,15.02,15
204,15.02,15
205,15.0,15
206,15.0,15
207,15.01,15
208,15.0,15
209,14.99,15
210,14.99,15
211,15.0,15
212,15.02,15
213,15.01,15
214,15.0,15
215,15.01,15
216,15.01,15
217,15.01,15
218,15.01,15
219,15.01,15
220,15.0,15
221,15.0,15
222,15.01,15
223,14.99,15
224,14.97,15
225,14.98,15
226,15.0,15
227,14.99,15
228,14.99,15
229,15.0,15
230,15.0,15
231,15.01,15
232,15.02,15
233,15.02,15
234,14.99,15
235,15.0,15
236,15.01,15
237,14.99,15
238,14.98,15
239,14.99,15
240,15.0,15
241,15.0,15
242,14.99,15
243,15.01,15
244,15.01,15
245,15.01,15
246,15.01,15
247,15.01,15
248,15.0,15
249,14.99,15
250,15.0,15
251,15.01,15
252,15.0,15
253,14.99,15
254,14.99,15
255,15.01,15
256,15.0,15
257,14.99,15
258,15.0,15
259,15.0,15
260,15.01,15
261,15.01,15
262,15.0,15
263,15.0,15
264,15.02,15
265,15.01,15
266,14.98,20
267,15.07,20
268,19.67,20
269,24.59,20
270,25.62,20
271,26.6,20
272,26.87,20
273,26.95,20
274,26.82,20
275,26.19,20
276,26.45,20
277,26.29,20
278,25.96,20
279,25.09,20
280,24.67,20
281,23.81,20
282,23.43,20
283,22.6,20
284,22.14,20
285,21.09,20
286,20.49,20
287,19.34,20
288,18.81,20
289,17.88,20
290,17.52,20
291,17.08,20
292,17.01,20
293,17.17,20
294,17.36,20
295,17.97,20
296,18.34,20
297,19.07,20
298,19.41,20
299,20.02,20
300,20.26,20
301,20.62,20
302,20.73,20
303,20.84,20
304,20.85,20
305,20.77,20
306,20.7,20
307,20.51,20
308,20.41,20
309,20.2,20
310,20.1,20
311,19.95,20
312,19.89,20
313,19.8,20
314,19.78,20
315,19.78,20
316,19.79,20
317,19.82,20
318,19.85,20
319,19.91,20
320,19.93,20
321,19.97,20
322,19.99,20
323,20.03,20
324,20.03,20
325,20.04,20
326,20.05,20
327,20.05,20
328,20.04,20
329,20.04,20
330,20.04,20
331,20.04,20
332,20.04,20
333,20.02,20
334,20.01,20
335,20.02,20
336,20.0,20
337,19.99,20
338,19.97,20
339,19.96,20
340,19.95,20
341,19.94,20
342,19.93,20
343,19.92,20
344,19.92,20
345,19.92,20
346,19.93,20
347,19.94,20
348,19.96,20
349,19.96,20
350,19.98,20
351,20.0,20
352,20.02,20
353,20.02,20
354,20.04,20
355,20.05,20
356,20.05,20
357,20.05,20
358,20.05,20
359,20.05,20
360,20.04,20
361,20.04,20
362,20.03,20
363,20.03,20
364,20.01,20
365,20.0,20
366,19.99,20
367,19.98,20
368,19.96,20
369,19.95,20
370,19.96,20
371,19.96,20
372,19.96,20
373,19.97,20
374,19.98,20
375,19.99,20
376,20.0,20
377,20.01,20
378,20.03,20
379,20.03,20
380,20.03,20
381,20.03,20
382,20.03,20
383,20.02,20
384,20.01,20
385,20.0,20
386,19.98,20
387,19.97,20
388,19.96,20
389,19.96,20
390,19.96,20
391,19.95,20
392,19.96,20
393,19.97,20
394,19.98,20
395,19.98,20
396,20.0,20
397,20.01,20
398,20.01,20
399,20.02,20
400,20.03,20
401,20.03,20
402,20.02,20
403,20.02,20
404,20.01,20
405,20.01,20
406,19.99,20
407,19.99,20
408,19.99,20
409,19.98,20
410,19.98,20
411,19.98,20
412,20.0,20
413,19.99,20
414,20.0,20
415,20.0,20
416,20.01,20
417,20.01,20
418,20.0,20
419,20.01,20
420,20.02,20
421,20.01,20
422,20.01,20
423,20.01,20
424,20.01,20
425,20.0,20
426,20.0,20
427,19.99,20
428,19.98,20
429,19.97,20
430,19.97,20
431,19.98,20
432,19.98,20
433,19.98,20
434,20.0,20
435,20.01,20
436,20.01,20
437,20.01,20
438,20.01,20
439,19.99,25
440,19.99,25
441,20.0,25
442,20.22,25
443,20.42,25
444,21.08,25
445,21.47,25
446,22.33,25
447,22.76,25
448,23.64,25
449,24.01,25
450,24.98,25
451,25.55,25
452,26.49,25
453,26.83,25
454,27.42,25
455,27.86,25
456,28.04,25
457,28.36,25
458,28.48,25
459,28.67,25
460,28.74,25
461,28.83,25
462,28.85,25
463,28.85,25
464,28.84,25
465,28.76,25
466,28.7,25
467,28.56,25
468,28.46,25
469,28.25,25
470,28.12,25
471,27.85,25
472,27.71,25
473,27.38,25
474,27.01,25
475,26.83,25
476,26.45,25
477,26.22,25
478,25.81,25
479,25.6,25
480,25.12,25
481,24.91,25
482,24.58,25
483,24.4,25
484,24.01,25
485,23.9,25
486,23.71,25
487,23.64,25
488,23.56,25
489,23.56,25
490,23.63,25
491,23.7,25
492,23.87,25
493,23.97,25
494,24.29,25
495,24.45,25
496,24.72,25
497,24.85,25
498,25.08,25
499,25.24,25
500,25.49,25
501,25.59,25
502,25.75,25
503,25.81,25
504,25.86,25
505,25.95,25
506,25.97,25
507,26.02,25
508,26.04,25
509,26.04,25
510,26.01,25
511,25.99,25
512,25.95,25
513,25.92,25
514,25.85,25
515,25.81,25
516,25.71,25
517,25.66,25
518,25.54,25
519,25.47,25
520,25.33,25
521,25.25,25
522,25.09,25
523,25.0,25
524,24.91,25
525,24.87,25
526,24.79,25
527,24.75,25
528,24.68,25
529,24.66,25
530,24.62,25
531,24.61,25
532,24.61,25
533,24.61,25
534,24.64,25
535,24.68,25
536,24.71,25
537,24.77,25
538,24.8,25
539,24.86,25
540,24.89,25
541,24.95,25
542,24.98,25
543,25.05,25
544,25.1,25
545,25.18,25
546,25.21,25
547,25.27,25
548,25.29,25
549,25.31,25
550,25.32,25
551,25.33,25
552,25.33,25
553,25.33,25
554,25.31,25
555,25.3,25
556,25.27,25
557,25.25,25
558,25.2,25
559,25.17,25
560,25.12,25
561,25.09,25
562,25.02,25
563,24.99,25
564,24.97,25
565,24.95,25
566,24.93,25
567,24.92,25
568,24.91,25
569,24.9,25
570,24.9,25
571,24.89,25
572,24.89,25
