Timestamp,Temperatures,SetPoints
0,8.59,10
1,8.57,10
2,8.59,10
3,8.61,10
4,8.7,10
5,8.75,10
6,8.89,10
7,8.97,10
8,9.15,10
9,9.25,10
10,9.44,10
11,9.54,10
12,9.66,10
13,9.71,10
14,9.85,10
15,9.91,10
16,9.95,10
17,9.97,10
18,10.02,10
19,10.03,10
20,10.03,10
21,10.04,10
22,10.07,10
23,10.04,10
24,10.03,10
25,10.05,10
26,10.06,10
27,10.03,10
28,10.02,10
29,10.03,10
30,10.03,10
31,10.0,10
32,10.0,10
33,10.01,10
34,10.0,10
35,9.97,10
36,9.97,10
37,10.0,10
38,10.0,10
39,9.98,10
40,9.98,10
41,10.01,10
42,10.0,10
43,9.99,10
44,10.0,10
45,10.03,10
46,10.01,10
47,9.99,10
48,10.0,10
49,10.03,10
50,10.02,10
51,10.0,10
52,10.0,10
53,10.01,10
54,9.99,10
55,9.99,10
56,10.02,10
57,10.01,10
58,9.98,10
59,10.0,10
60,10.03,10
61,10.02,10
62,10.0,10
63,10.0,10
64,10.02,10
65,10.03,10
66,10.03,10
67,10.01,10
68,10.01,10
69,10.03,10
70,10.02,10
71,9.99,10
72,9.99,10
73,10.01,10
74,10.03,10
75,10.0,10
76,9.99,10
77,10.02,10
78,10.03,10
79,10.01,10
80,10.0,10
81,10.01,10
82,10.01,10
83,10.0,10
84,10.0,10
85,10.03,10
86,10.02,10
87,9.99,10
88,10.01,10
89,10.04,10
90,10.03,10
91,10.01,10
92,10.02,10
93,10.02,10
94,9.99,10
95,9.99,10
96,10.01,10
97,9.99,10
98,9.96,10
99,9.96,10
100,9.99,10
101,10.0,10
102,9.98,10
103,9.98,10
104,10.01,10
105,10.01,10
106,9.99,10
107,10.0,10
108,10.01,10
109,10.0,10
110,9.97,10
111,9.99,10
112,10.02,10
113,10.01,10
114,9.99,10
115,10.01,10
116,10.01,10
117,10.0,10
118,10.0,10
119,10.01,10
120,10.01,10
121,10.0,10
122,9.99,10
123,10.01,10
124,10.02,10
125,10.01,10
126,9.99,10
127,10.01,10
128,10.0,10
129,9.98,10
130,9.99,10
131,10.0,10
132,9.98,10
133,9.97,10
134,9.98,10
135,10.0,15
136,10.11,15
137,10.36,15
138,11.04,15
139,11.44,15
140,12.4,15
141,12.94,15
142,14.06,15
143,14.45,15
144,14.87,15
145,14.99,15
146,15.08,15
147,15.06,15
148,15.04,15
149,15.03,15
150,15.03,15
151,15.03,15
152,15.03,15
153,15.01,15
154,15.01,15
155,15.02,15
156,15.02,15
157,14.99,15
158,14.99,15
159,15.01,15
160,15.02,15
161,15.0,15
162,15.0,15
163,15.02,15
164,15.02,15
165,15.01,15
166,15.02,15
167,15.01,15
168,15.01,15
169,15.01,15
170,15.01,15
171,15.0,15
172,15.0,15
173,15.01,15
174,15.01,15
175,14.99,15
176,14.99,15
177,15.0,15
178,14.99,15
179,14.98,15
180,14.99,15
181,15.01,15
182,15.0,15
183,15.0,15
184,15.01,15
185,15.0,15
186,15.0,15
187,15.02,15
188,15.01,15
189,15.0,15
190,15.01,15
191,15.01,15
192,14.99,15
193,14.99,15
194,15.0,15
195,15.01,15
196,15.0,15
197,15.0,15
198,15.02,15
199,15.02,15
200,15.01,15
201,14.99,15
202,14.99,15
203,15.0,15
204,14.99,15
205,14.99,15
206,15.0,15
207,15.01,15
208,15.01,15
209,15.01,15
210,15.01,15
211,15.0,15
212,14.99,15
213,15.0,15
214,15.01,15
215,15.0,15
216,14.98,15
217,15.0,15
218,15.01,15
219,15.0,15
220,15.0,15
221,15.01,15
222,15.01,15
223,15.02,15
224,15.01,15
225,15.0,15
226,15.0,15
227,15.01,15
228,15.01,15
229,14.99,15
230,14.99,15
231,15.0,15
232,15.0,15
233,14.99,15
234,15.0,15
235,15.0,15
236,15.0,15
237,15.0,15
238,15.01,15
239,15.0,15
240,15.0,15
241,15.0,15
242,15.01,15
243,14.99,15
244,14.99,15
245,15.0,15
246,15.02,15
247,15.0,15
248,15.0,15
249,15.02,15
250,15.01,15
251,15.01,15
252,15.01,15
253,15.01,15
254,15.01,15
255,15.02,15
256,15.01,15
257,15.0,15
258,15.01,15
259,15.01,15
260,14.99,15
261,14.98,15
262,15.0,15
263,15.01,15
264,15.0,15
265,15.01,20
266,15.0,20
267,15.37,20
268,21.6,20
269,25.32,20
270,27.05,20
271,27.9,20
272,29.07,20
273,29.51,20
274,30.58,20
275,28.23,20
276,29.56,20
277,30.08,20
278,30.97,20
279,31.75,20
280,32.08,20
281,32.69,20
282,32.96,20
283,33.44,20
284,33.66,20
285,34.05,20
286,34.4,20
287,34.55,20
288,34.83,20
289,34.95,20
290,35.16,20
291,35.25,20
292,35.41,20
293,35.48,20
294,35.58,20
295,35.66,20
296,35.69,20
297,35.73,20
298,35.73,20
299,35.74,20
300,35.73,20
301,35.7,20
302,35.67,20
303,35.59,20
304,35.5,20
305,35.45,20
306,35.32,20
307,35.25,20
308,35.09,20
309,35.0,20
