Timestamp,Temperatures,SetPoints
0,13.87,15
1,13.58,15
2,13.49,15
3,13.61,15
4,13.9,15
5,14.04,15
6,14.39,15
7,14.59,15
8,15.0,15
9,15.06,15
10,15.03,15
11,15.01,15
12,15.02,15
13,15.03,15
14,15.0,15
15,14.98,15
16,15.0,15
17,15.01,15
18,15.0,15
19,15.0,15
20,15.0,15
21,15.01,15
22,15.0,15
23,15.01,15
24,15.0,15
25,14.99,15
26,15.0,15
27,15.01,15
28,15.0,15
29,14.98,15
30,14.99,15
31,15.01,15
32,14.99,15
33,14.98,15
34,15.0,15
35,15.01,15
36,15.0,15
37,15.0,15
38,15.0,15
39,15.01,15
40,15.01,15
41,15.01,15
42,14.99,15
43,14.99,15
44,15.01,15
45,15.01,15
46,14.98,15
47,14.99,15
48,15.01,15
49,15.0,15
50,14.99,15
51,15.0,15
52,15.02,15
53,15.01,15
54,15.01,15
55,15.01,15
56,15.01,15
57,15.01,15
58,15.01,15
59,15.01,15
60,15.0,15
61,15.0,15
62,15.01,15
63,15.0,15
64,14.98,15
65,14.96,15
66,14.98,15
67,15.0,15
68,14.96,20
69,14.97,20
70,15.28,20
71,20.97,20
72,23.29,20
73,24.21,20
74,25.33,20
75,26.2,20
76,26.72,20
77,27.38,20
78,25.26,20
79,26.47,20
80,26.93,20
81,27.72,20
82,28.36,20
83,28.66,20
84,29.22,20
85,29.48,20
86,29.96,20
87,30.19,20
88,30.63,20
89,30.83,20
90,31.22,20
91,31.59,20
92,31.77,20
93,32.11,20
94,32.28,20
95,32.64,20
96,32.79,20
97,33.09,20
98,33.37,20
99,33.51,20
100,33.77,20
101,33.87,20
102,34.11,20
103,34.35,20
104,34.47,20
105,34.7,20
106,34.81,20
107,35.02,20
108,35.12,20
109,35.32,20
110,35.42,20
111,35.61,20
112,35.78,20
113,35.87,20
114,36.04,20
115,36.13,20
116,36.32,20
117,36.41,20
118,36.57,20
