Timestamp,Temperatures
0,320.3
1,320.3
2,320.3
3,320.3
4,320.3
5,320.3
6,320.3
7,320.3
8,320.3
9,320.3
10,320.3
11,320.3
12,320.3
13,320.3
14,320.3
15,320.3
16,320.3
17,320.3
18,320.3
19,320.3
20,320.3
21,320.3
22,320.3
23,320.3
24,320.3
25,320.3
26,320.3
27,320.3
28,320.3
29,320.3
30,320.3
31,320.3
32,320.3
33,320.3
34,320.3
35,320.3
36,320.3
37,320.3
38,320.3
39,320.3
40,320.3
41,320.3
42,320.3
43,320.3
44,320.3
45,320.3
46,320.3
47,320.3
48,320.3
49,320.3
50,320.3
51,320.3
52,320.3
53,320.3
54,320.3
55,320.3
56,320.3
57,320.3
58,320.3
59,320.3
60,320.3
61,320.3
62,320.3
63,320.3
64,320.3
65,320.3
66,320.3
67,320.3
68,320.3
69,320.3
70,320.3
71,320.3
72,320.3
73,320.3
74,320.3
75,320.3
76,320.3
77,320.3
78,320.3
79,320.3
80,320.3
81,320.3
82,320.3
83,320.3
84,320.3
85,320.3
86,320.3
87,320.3
88,320.3
89,320.3
90,320.3
91,320.3
92,320.3
93,320.3
94,320.3
95,320.3
96,320.3
97,320.3
98,320.3
99,320.3
100,320.3
101,320.3
102,320.3
103,320.3
104,320.3
105,320.3
106,320.3
107,320.3
108,320.3
109,320.3
110,320.3
111,320.3
112,320.3
113,320.3
114,320.3
115,320.3
116,320.3
117,320.3
118,320.3
119,320.3
120,320.3
121,320.3
122,320.3
123,320.3
124,320.3
125,320.3
126,320.3
127,320.3
128,320.3
129,320.3
130,320.3
131,320.3
132,320.3
133,320.3
134,320.3
135,320.3
136,320.3
137,320.3
138,320.3
139,320.3
140,320.3
141,320.3
142,320.3
143,320.2
144,320.2
145,320.2
146,320.2
147,320.2
148,320.2
149,320.2
150,320.2
151,320.2
152,320.2
153,320.2
154,320.2
155,320.2
156,320.2
157,320.2
158,320.2
159,320.2
160,320.2
161,320.2
162,320.2
163,320.2
164,320.2
165,320.2
166,320.2
167,320.2
168,320.2
169,320.2
170,320.2
171,320.2
172,320.2
173,320.2
174,320.2
175,320.2
176,320.2
177,320.2
178,320.2
179,320.2
180,320.2
181,320.2
182,320.2
183,320.2
184,320.2
185,320.2
186,320.2
187,320.2
188,320.2
189,320.2
190,320.2
191,320.2
192,320.2
193,320.2
194,320.2
195,320.2
196,320.2
197,320.2
198,320.2
199,320.2
200,320.2
201,320.2
202,320.2
203,320.2
204,320.2
205,320.2
206,320.2
207,320.2
208,320.2
209,320.2
210,320.2
211,320.2
212,320.2
213,320.2
214,320.2
215,320.2
216,320.2
217,320.2
218,320.2
219,320.2
220,320.2
221,320.2
222,320.2
223,320.2
224,320.2
225,320.2
226,320.2
227,320.2
228,320.2
229,320.2
230,320.2
231,320.2
232,320.2
233,320.2
234,320.2
235,320.2
236,320.2
237,320.2
238,320.2
239,320.2
240,320.2
241,320.2
242,320.2
243,320.2
244,320.2
245,320.2
246,320.2
247,320.2
248,320.2
249,320.2
250,320.2
251,320.2
252,320.2
253,320.2
254,320.2
255,320.2
256,320.2
257,320.2
258,320.2
259,320.2
260,320.2
261,320.2
262,320.2
263,320.2
264,320.2
265,320.2
266,320.1
267,320.1
268,320.1
269,320.1
270,320.1
271,320.1
272,320.1
273,320.1
274,320.1
275,320.1
276,320.1
277,320.1
278,320.1
279,320.1
280,320.1
281,320.1
282,320.1
283,320.1
284,320.1
285,320.1
286,320.1
287,320.1
288,320.1
289,320.1
290,320.1
291,320.1
292,320.1
293,320.1
294,320.1
295,320.1
296,320.1
297,320.1
298,320.1
299,320.1
300,320.1
301,320.1
302,320.1
303,320.1
304,320.1
305,320.1
306,320.1
307,320.1
308,320.1
309,320.1
310,320.1
311,320.1
312,320.1
313,320.1
314,320.1
315,320.1
316,320.1
317,320.1
318,320.1
319,320.1
320,320.1
321,320.1
322,320.1
323,320.1
324,320.1
325,320.1
326,320.1
327,320.1
328,320.1
329,320.1
330,320.1
331,320.1
332,320.1
333,320.1
334,320.1
335,320.1
336,320.1
337,320.1
338,320.1
339,320.1
340,320.1
341,320.1
342,320.1
343,320.1
344,320.1
345,320.1
346,320.1
347,320.1
348,320.1
349,320.1
350,320.1
351,320.1
352,320.1
353,320.1
354,320.1
355,320.1
356,320.1
357,320.1
358,320.1
359,320.1
360,320.1
361,320.1
362,320.1
363,320.1
364,320.1
365,320.1
366,320.1
367,320.1
368,320.1
369,320.1
370,320.1
371,320.1
372,320.1
373,320.1
374,320.1
375,320.1
376,320.1
377,320.1
378,320.1
379,320.1
380,320.1
381,320.1
382,320.1
383,320.1
384,320.1
385,320.1
386,320.0
387,320.0
388,320.0
389,320.0
390,320.0
391,320.0
392,320.1
393,320.1
394,320.1
395,320.1
396,320.1
397,320.1
398,320.2
399,320.2
400,320.3
401,320.3
402,320.4
403,320.4
404,320.4
405,320.5
406,320.5
407,320.6
408,320.6
409,320.7
410,320.7
411,320.8
412,320.8
413,320.9
414,320.9
415,321.0
416,321.0
417,321.1
418,321.1
419,321.2
420,321.2
421,321.3
422,321.3
423,321.4
424,321.4
425,321.4
426,321.5
427,321.5
428,321.6
429,321.6
430,321.7
431,321.7
432,321.8
433,321.8
434,321.9
435,321.9
436,321.9
437,322.0
438,322.0
439,322.1
440,322.1
441,322.2
442,322.2
443,322.3
444,322.3
445,322.3
446,322.4
447,322.4
448,322.5
449,322.5
450,322.6
451,322.6
452,322.6
453,322.7
454,322.7
455,322.7
456,322.8
457,322.8
458,322.9
459,322.9
460,323.0
461,323.0
462,323.0
463,323.1
464,323.1
465,323.1
466,323.2
467,323.2
468,323.3
469,323.3
470,323.4
471,323.4
472,323.4
473,323.5
474,323.5
475,323.6
476,323.6
477,323.6
478,323.7
479,323.7
480,323.8
481,323.8
482,323.8
483,323.9
484,323.9
485,324.0
486,324.0
487,324.0
488,324.1
489,324.1
490,324.2
491,324.2
492,324.2
493,324.3
494,324.3
495,324.4
496,324.4
497,324.4
498,324.5
499,324.5
500,324.5
501,324.6
502,324.6
503,324.7
504,324.7
505,324.7
506,324.8
507,324.8
508,324.9
509,324.9
510,324.9
511,325.0
512,325.0
513,325.1
514,325.1
515,325.1
516,325.2
517,325.2
518,325.2
519,325.3
520,325.3
521,325.4
522,325.4
523,325.4
