Timestamp,Temperatures
0,318.5
1,318.6
2,318.7
3,318.8
4,318.9
5,319.0
6,319.1
7,319.2
8,319.2
9,319.3
10,319.4
11,319.5
12,319.6
13,319.7
14,319.8
15,319.8
16,319.9
17,320.0
18,320.0
19,320.1
20,320.1
21,320.2
22,320.3
23,320.3
24,320.3
25,320.4
26,320.4
27,320.5
28,320.5
29,320.6
30,320.6
31,320.6
32,320.7
33,320.7
34,320.7
35,320.8
36,320.8
37,320.8
38,320.9
39,320.9
40,320.9
41,321.0
42,321.0
43,321.0
44,321.0
45,321.1
46,321.1
47,321.1
48,321.1
49,321.2
50,321.2
51,321.2
52,321.2
53,321.3
54,321.3
55,321.3
56,321.3
57,321.4
58,321.4
59,321.4
60,321.4
61,321.4
62,321.4
63,321.5
64,321.5
65,321.5
66,321.5
67,321.5
68,321.5
69,321.6
70,321.6
71,321.6
72,321.6
73,321.6
74,321.6
75,321.7
76,321.7
77,321.7
78,321.7
79,321.7
80,321.7
81,321.7
82,321.7
83,321.8
84,321.8
85,321.8
86,321.8
87,321.8
88,321.8
89,321.8
90,321.8
91,321.8
92,321.8
93,321.9
94,321.9
95,321.9
96,321.9
97,321.9
98,321.9
99,321.9
100,321.9
101,321.9
102,321.9
103,321.9
104,321.9
105,321.9
106,322.0
107,322.0
108,322.0
109,322.0
110,322.0
111,322.0
112,322.0
113,322.0
114,322.0
115,322.0
116,322.0
117,322.0
118,322.0
