,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances,Resistances
,count,mean,std,min,25%,50%,75%,max
Temperature,,,,,,,,
301.1,10.0,16.466307000000004,0.007388668576498587,16.45264,16.461965,16.46821,16.470795,16.47735
321.0,10.0,17.656899,0.0022101807367024694,17.65371,17.65544,17.65654,17.658852500000002,17.65998
340.1,10.0,18.751384,0.006619560576218051,18.74007,18.7481725,18.752085,18.754582499999998,18.7641
360.0,10.0,19.782772,0.006718678441479713,19.77041,19.777445,19.784489999999998,19.787840000000003,19.79095
379.8,10.0,20.760893000000003,0.003690667058043901,20.75612,20.7570475,20.76213,20.762935,20.76645
400.0,10.0,21.639585999999998,0.007006695528009345,21.62855,21.6342675,21.639895,21.6439375,21.65142
