Timestamp,Temperatures,SetPoints
0,9.8,10
1,9.75,10
2,9.72,10
3,9.69,10
4,9.66,10
5,9.65,10
6,9.62,10
7,9.62,10
8,9.61,10
9,9.59,10
10,9.62,10
11,9.66,10
12,9.66,10
13,9.67,10
14,9.73,10
15,9.76,10
16,9.79,10
17,9.8,10
18,9.86,10
19,9.87,10
20,9.87,10
21,9.89,10
22,9.94,10
23,9.96,10
24,9.96,10
25,9.97,10
26,10.03,10
27,10.04,10
28,10.02,10
29,10.03,10
30,10.03,10
31,10.01,10
32,9.96,10
33,9.97,10
34,9.99,10
35,9.97,10
36,9.94,10
37,9.96,10
38,9.96,10
39,9.95,10
40,9.94,10
41,9.96,10
42,9.94,10
43,9.93,10
44,9.94,10
45,9.95,10
46,9.96,10
47,9.95,10
48,9.97,10
49,9.98,10
50,9.97,10
51,9.98,10
52,9.99,10
53,10.0,10
54,9.99,10
55,9.99,10
56,10.01,10
57,10.0,10
58,9.99,10
59,9.99,10
60,10.01,10
61,10.0,10
62,9.97,10
63,9.99,10
64,10.01,10
65,10.02,10
66,10.0,10
67,9.97,10
68,10.0,10
69,10.02,10
70,10.01,10
71,10.0,10
72,9.99,10
73,10.0,10
74,10.02,10
75,10.0,10
76,9.99,10
77,10.01,10
78,9.99,10
79,9.98,10
80,9.98,10
81,10.0,10
82,10.0,10
83,9.99,10
84,10.0,10
85,10.02,10
86,10.01,10
87,10.01,10
88,10.03,10
89,10.05,10
90,10.03,10
91,10.01,10
92,10.04,10
93,10.06,10
94,10.03,10
95,10.02,10
96,10.03,10
97,10.03,10
98,10.02,10
99,10.03,10
100,10.06,10
101,10.04,10
102,10.01,10
103,10.02,10
104,10.05,10
105,10.03,10
106,10.0,10
107,10.0,10
108,10.0,10
109,9.99,10
110,9.97,10
111,9.98,10
112,9.99,10
113,9.98,10
114,9.96,10
115,9.98,10
116,10.0,10
117,9.97,10
118,9.97,10
119,9.98,10
120,9.97,10
121,9.96,10
122,9.98,10
123,10.0,10
124,10.0,10
125,9.99,10
126,10.0,10
127,10.01,10
128,9.99,10
129,9.99,10
130,10.0,10
131,10.02,10
132,10.0,10
133,9.98,10
134,10.01,10
135,10.01,10
136,10.0,10
137,9.99,10
138,10.0,10
139,10.0,10
140,10.0,10
141,10.01,10
142,10.01,15
143,9.99,15
144,10.36,15
145,10.68,15
146,11.44,15
147,11.91,15
148,12.97,15
149,13.52,15
150,14.48,15
151,14.75,15
152,15.03,15
153,15.08,15
154,15.04,15
155,15.03,15
156,15.03,15
157,15.03,15
158,15.01,15
159,15.01,15
160,15.01,15
161,15.02,15
162,15.02,15
163,15.02,15
164,15.01,15
165,15.01,15
166,15.02,15
167,15.0,15
168,14.99,15
169,15.0,15
170,15.01,15
171,15.0,15
172,14.99,15
173,15.0,15
174,15.01,15
175,15.01,15
176,15.01,15
177,15.01,15
178,15.01,15
179,15.01,15
180,15.02,15
181,15.01,15
182,15.0,15
183,15.01,15
184,15.01,15
185,15.0,15
186,14.98,15
187,14.99,15
188,15.01,15
189,15.0,15
190,14.99,15
191,15.0,15
192,15.0,15
193,15.01,15
194,15.02,15
195,15.01,15
196,15.0,15
197,15.01,15
198,15.01,15
199,15.0,15
200,14.99,15
201,14.99,15
202,15.0,15
203,14.99,15
204,14.99,15
205,15.0,15
206,15.0,15
207,15.0,15
208,14.97,15
209,14.97,15
210,14.98,15
211,14.98,15
212,14.97,15
213,14.98,15
214,15.01,15
215,15.01,15
216,15.02,15
217,15.02,15
218,15.02,15
219,15.0,15
220,15.0,15
221,15.01,15
222,15.01,15
223,14.98,15
224,14.98,15
225,15.0,15
226,15.0,15
227,14.99,15
228,14.99,15
229,15.0,15
230,15.01,15
231,15.01,15
232,15.0,15
233,15.0,15
234,15.01,15
235,15.01,15
236,15.0,15
237,14.99,15
238,14.99,15
239,15.01,15
240,15.0,15
241,15.0,15
242,15.01,15
243,15.02,15
244,15.01,15
245,15.01,15
246,15.01,15
247,15.01,15
248,15.01,15
249,15.01,15
250,15.01,15
251,14.99,15
252,15.0,15
253,15.01,15
254,14.99,15
255,14.98,15
256,15.0,15
257,15.01,15
258,14.99,15
259,15.0,15
260,15.01,15
261,15.01,15
262,15.01,15
263,15.02,15
264,15.01,15
265,14.99,15
266,15.0,15
267,15.01,15
268,14.99,15
269,14.98,15
270,14.99,15
271,15.0,15
272,14.99,20
273,15.0,20
274,15.5,20
275,22.73,20
276,25.51,20
277,26.38,20
278,27.23,20
279,27.47,20
280,27.49,20
281,27.34,20
282,26.93,20
283,27.06,20
284,26.88,20
285,26.32,20
286,25.87,20
287,24.87,20
288,24.44,20
289,23.61,20
290,23.21,20
291,22.35,20
292,21.86,20
293,20.74,20
294,20.13,20
295,18.99,20
296,17.97,20
297,17.54,20
298,16.94,20
299,16.79,20
300,16.8,20
301,16.92,20
302,17.43,20
303,17.78,20
304,18.57,20
305,18.95,20
306,19.63,20
307,19.93,20
308,20.39,20
309,20.56,20
310,20.78,20
311,20.83,20
312,20.83,20
313,20.8,20
314,20.67,20
315,20.48,20
316,20.37,20
317,20.17,20
318,20.08,20
319,19.92,20
320,19.85,20
321,19.75,20
322,19.73,20
323,19.7,20
324,19.71,20
325,19.74,20
326,19.77,20
327,19.84,20
328,19.88,20
329,19.95,20
330,19.98,20
331,20.04,20
332,20.06,20
333,20.1,20
334,20.11,20
335,20.11,20
336,20.11,20
337,20.1,20
338,20.08,20
339,20.06,20
340,20.05,20
341,20.02,20
342,20.01,20
343,20.0,20
344,19.99,20
345,19.98,20
346,19.97,20
347,19.98,20
348,19.97,20
349,19.97,20
350,19.98,20
351,19.98,20
352,19.99,20
353,19.99,20
354,19.99,20
355,20.0,20
356,20.0,20
357,20.0,20
358,20.01,20
359,20.01,20
360,20.02,20
361,20.02,20
362,20.02,20
363,20.02,20
364,20.02,20
365,20.02,20
366,20.02,20
367,20.01,20
368,20.01,20
369,20.01,20
370,20.01,20
371,20.0,20
372,20.0,20
373,20.01,20
374,20.01,20
375,20.01,20
376,20.01,20
377,20.01,20
378,20.01,20
379,20.02,20
380,20.01,20
381,20.0,20
382,20.0,20
383,20.0,20
384,20.0,20
385,19.99,20
386,19.99,20
387,20.0,20
388,20.0,20
389,20.0,20
390,20.0,20
391,20.0,20
392,20.0,20
393,20.0,20
394,20.01,20
395,20.01,20
396,20.01,20
397,20.01,20
398,20.01,20
399,20.01,20
400,20.0,20
401,20.01,20
402,20.01,20
403,20.0,20
404,19.99,20
405,20.0,20
406,19.99,20
407,19.99,20
408,19.99,20
409,19.99,20
410,19.99,20
411,19.99,20
412,20.0,20
413,20.0,20
414,20.0,20
415,20.0,20
416,20.01,20
417,20.01,20
418,20.01,20
419,20.02,20
420,20.02,20
421,20.01,20
422,20.01,20
423,20.01,20
424,20.0,20
425,20.0,20
426,20.01,20
427,20.0,20
428,20.0,20
429,20.0,20
430,20.01,20
431,20.01,20
432,20.0,20
433,20.01,20
434,20.01,20
435,20.01,20
436,20.01,20
437,20.01,20
438,20.0,20
439,20.0,20
440,20.01,20
441,20.0,20
442,19.99,20
443,19.99,20
444,20.0,20
445,20.0,20
446,19.99,20
447,19.99,20
448,20.0,20
449,20.0,20
450,20.0,20
451,20.0,20
452,20.0,20
453,19.99,20
454,20.0,20
455,20.0,20
456,20.0,20
457,20.01,25
458,20.01,25
459,24.61,25
460,27.71,25
461,28.43,25
462,28.92,25
463,28.92,25
464,28.59,25
465,28.23,25
466,28.39,25
467,28.14,25
468,27.87,25
469,27.17,25
470,26.78,25
471,25.84,25
472,25.39,25
473,24.67,25
474,24.47,25
475,24.27,25
476,24.25,25
477,24.3,25
478,24.56,25
479,24.76,25
480,25.23,25
481,25.41,25
482,25.5,25
483,25.47,25
484,25.32,25
485,25.22,25
486,25.0,25
487,24.92,25
488,24.89,25
489,24.87,25
490,24.88,25
491,24.93,25
492,24.96,25
493,25.03,25
494,25.07,25
495,25.12,25
496,25.11,25
497,25.09,25
498,25.04,25
499,25.02,25
500,24.99,25
501,24.98,25
502,24.97,25
503,24.97,25
504,24.99,25
505,25.0,25
506,25.01,25
507,25.03,25
508,25.03,25
509,25.03,25
510,25.02,25
511,25.01,25
512,25.0,25
513,25.0,25
514,25.0,25
515,25.0,25
516,25.0,25
517,25.0,25
518,25.01,25
519,25.01,25
520,25.01,25
521,25.01,25
522,25.01,25
523,25.0,25
524,25.0,25
525,25.0,25
526,25.0,25
527,25.0,25
528,25.0,25
529,25.0,25
530,25.0,25
531,25.0,25
532,25.0,25
533,25.01,25
534,25.01,25
535,25.02,25
536,25.02,25
537,25.02,25
