Timestamp,Temperatures,SetPoints
0,67.25,70
1,67.2,70
2,67.06,70
3,67.02,70
4,66.94,70
5,66.98,70
6,67.05,70
7,67.28,70
8,67.41,70
9,67.86,70
10,68.06,70
11,68.6,70
12,69.11,70
13,69.4,70
14,69.88,70
15,70.14,70
16,70.53,70
17,70.73,70
18,70.99,70
19,71.15,70
20,71.18,70
21,71.2,70
22,71.17,70
23,71.1,70
24,71.02,70
25,70.93,70
26,70.82,70
27,70.75,70
28,70.6,70
29,70.54,70
30,70.39,70
31,70.32,70
32,70.16,70
33,69.98,70
34,69.92,70
35,69.78,70
36,69.72,70
37,69.6,70
38,69.54,70
39,69.52,70
40,69.53,70
41,69.55,70
42,69.67,70
43,69.74,70
44,69.96,70
45,70.13,70
46,70.27,70
47,70.42,70
48,70.49,70
49,70.56,70
50,70.59,70
51,70.55,70
52,70.49,70
53,70.42,70
54,70.35,70
55,70.26,70
56,70.15,70
57,70.02,70
58,69.98,70
59,69.84,70
60,69.8,70
61,69.68,70
62,69.62,70
63,69.55,70
64,69.55,70
65,69.53,70
66,69.64,70
67,69.68,70
68,69.87,70
69,70.07,70
70,70.2,70
71,70.38,70
72,70.46,70
73,70.56,70
74,70.62,70
75,70.58,70
76,70.56,70
77,70.48,70
78,70.4,70
79,70.31,70
80,70.19,70
81,70.03,70
82,69.96,70
83,69.81,70
84,69.76,70
85,69.61,70
86,69.53,70
87,69.5,70
88,69.52,70
89,69.53,70
90,69.64,70
91,69.71,70
92,69.91,70
93,70.12,70
94,70.22,70
95,70.39,70
96,70.47,70
97,70.53,70
98,70.57,70
99,70.56,70
100,70.52,70
101,70.48,70
102,70.39,70
103,70.3,70
104,70.23,70
105,70.1,70
106,70.03,70
107,69.91,70
108,69.76,70
109,69.7,70
110,69.59,70
111,69.56,70
112,69.51,70
113,69.52,70
114,69.56,70
115,69.74,70
116,69.81,70
117,70.05,70
118,70.15,70
119,70.36,70
120,70.5,70
121,70.56,70
122,70.6,70
123,70.62,70
124,70.53,70
125,70.51,70
126,70.38,70
127,70.29,70
128,70.2,70
129,70.07,70
130,69.99,70
131,69.88,70
132,69.75,70
133,69.71,70
134,69.61,70
135,69.6,70
136,69.55,70
137,69.6,70
138,69.62,70
139,69.74,70
140,69.81,70
141,70.01,70
142,70.09,70
143,70.29,70
144,70.42,70
145,70.51,70
146,70.54,70
147,70.57,70
148,70.52,70
149,70.47,70
150,70.41,70
151,70.32,70
152,70.25,70
